Category,Question,Answer
Fees & Scholarships,"Hey CampusBrain, what is the fee structure for Computer Systems Engineering? Can you help?","For PhD in Computer Systems Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hello, fee for BS in Telecommunications Engineering? (I need this urgently)",The fee structure for Telecommunications Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Could you please explain what is the merit for ME in Biomedical Engineering?,The merit criteria for ME in Biomedical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, closing merit for Mathematics? Thanks.",The merit criteria for MS in Mathematics depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Can you tell me fee for BE in Biomedical Engineering? Appreciate it.,The fee structure for Biomedical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,I'm looking for info on fee for BE in Metallurgical Engineering? Appreciate it.,"For BE in Metallurgical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hi, what is the fee structure for Chemical Engineering? Please.","For ME in Chemical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hello, how much does Biomedical Engineering cost?","For MS in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Quick question: when does Admissions Office open? Thanks.,"You can visit the Admissions Office during standard university working hours, Monday to Friday."
Academics,Could you please explain HOD of Environmental Engineering? Thanks.,The details of the Chairperson for Environmental Engineering are listed on the departmental sub-domain of the NED website.
Admissions,Quick question: how much percentage is required for Food Engineering PhD? Thanks.,The merit criteria for PhD in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about fee for BE in Computer Systems Engineering? Please.,"For BE in Computer Systems Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hello, fee for PhD in English? Please.",The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Location of Food Engineering? Appreciate it.,The Food Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,"Hey CampusBrain, fee for MS in English? ASAP.",The fee structure for English varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hi, what is the merit for BS in Computer Systems Engineering? ASAP.",The merit criteria for BS in Computer Systems Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,I'm looking for info on directions for Sports Complex? Please.,The Sports Complex is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,I'm looking for info on start date for MS admissions? (I need this urgently),The schedule for MS admissions is announced on the official website. It generally starts in the summer.
Admissions,Do you know how much percentage is required for Automotive Engineering ME? Please.,Admission to Automotive Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hi, fee for BE in Electrical Engineering? Appreciate it.","For BE in Electrical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Could you please explain what is the merit for MS in Automotive Engineering?,The merit criteria for MS in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Quick question: how much percentage is required for Physics MS? Please.,Admission to Physics (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hello, fee for ME in Architecture? - thanks in advance!",The fee structure for Architecture varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hi, how much percentage is required for Electronic Engineering BS? - thanks in advance!",Admission to Electronic Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Do you know location of Software Engineering? Can you help?,The Software Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Merit criteria for Urban & Infrastructure Engineering? ASAP.,Admission to Urban & Infrastructure Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,I'm looking for info on who is the chairperson of Chemical Engineering? (I need this urgently),The details of the Chairperson for Chemical Engineering are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,Can you tell me fee for PhD in Physics? (I need this urgently),"For PhD in Physics, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Could you please explain who is the chairperson of Textile Engineering? ASAP.,"To contact the HOD of Textile Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,"Hello, how much percentage is required for Biomedical Engineering PhD? (I need this urgently)",Admission to Biomedical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Could you please explain fee for PhD in Civil Engineering? Can you help?,The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Hello, fee for ME in Civil Engineering? Please.",The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Hi, are there scholarships for Petroleum Engineering? Appreciate it.",NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Fees & Scholarships,How much does Computer Systems Engineering cost? Appreciate it.,The fee structure for Computer Systems Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Please guide me about location of Materials Engineering? Appreciate it.,You can find the Materials Engineering at the NED Main Campus.
